time_hours,t_half_1h,t_half_2h,t_half_4h,t_half_6h,t_half_8h,t_half_12h,t_half_18h,t_half_24h,t_half_36h,t_half_48h,t_half_60h,t_half_72h
16.0,0.0,0.4138160901006402,6.62105744161024,16.684019286495683,26.48422976644096,42.041094191815894,57.20910057261213,66.7360771459827,77.84957197818082,84.08218838363179,88.05878172807432,90.81378643111906
17.0,0.0,0.29261216347426594,5.567623467838983,14.863771395767701,24.28614577698787,39.68150888468657,55.0479602582419,64.83623057461337,76.36498746554443,82.87671875087733,87.0473403533969,89.94371293534336
18.0,0.0,0.20690804505032,4.681794615588255,13.242114883220484,22.27049387135593,37.45435692470604,52.96845953288192,62.99046894723689,74.90871384941208,81.68853169679295,86.04751637376327,89.08197548542373
19.0,0.0,0.14630608368284984,3.9369043092023057,11.797383174928232,20.422132924198237,35.35220539924175,50.96751436610193,61.197252570484984,73.48021124346945,80.5173794444813,85.05917635201041,88.22849421493406
20.0,0.0,0.0,3.31052872080512,10.510273547953974,18.72717846235302,33.36803857299135,49.04215723030805,59.45508558307079,72.07895005698688,79.36301776937314,84.08218838363179,87.38319002263684
21.0,0.0,0.0,2.783811733919491,9.36358923117651,17.172898367793152,31.495234473618453,47.189532699712935,57.76251470797454,70.7044107984835,78.22520594829837,83.11642207917342,86.54598456515163
22.0,0.0,0.0,2.340897307794127,8.342009643247838,15.747617236809226,29.727542791535388,45.40689321555953,56.1181280401522,69.3560838831354,77.10370670928718,82.16174854683196,85.71680024969459
23.0,0.0,0.0,1.9684521546011529,7.431885697883851,14.440628676993633,28.0590640200761,43.6915950113184,54.52055386875567,68.0334694438566,75.9982861820909,81.21804037525258,84.89556022688676
24.0,0.0,0.0,1.655264360402561,6.62105744161024,13.242114883220486,26.48422976644096,42.041094191815894,52.96845953288192,66.73607714598272,74.90871384941208,80.28517161652479,84.08218838363179
25.0,0.0,0.0,1.3919058669597455,5.898691587464117,12.143072888493935,24.997784167703514,40.452942960477245,51.460550309896995,65.46342600548827,73.83476249883405,79.36301776937314,83.27660933606165
26.0,0.0,0.0,1.1704486538970642,5.2551367739769885,11.135246935677964,23.59476634985648,38.9247859890904,49.99556833540703,64.21504421067115,72.77620817543934,78.45145576254136,82.47874842255013
27.0,0.0,0.0,0.9842260773005764,4.681794615588255,10.21106646209912,22.27049387135593,37.45435692470603,48.57229155397574,62.99046894723689,71.73283013510769,77.55036393836714,81.68853169679294
