rank,ensembl_id,tw_hours,delta_tw_hours,tw_exceeds_72h,gene_symbol,full_name,complex,atp_impact_pct
93,ENSMUSG00000034566,29.0,0.0,False,Atp5pd,ATP synthase peripheral stalk subunit d,Complex V,92.5082
94,ENSMUSG00000061518,29.0,0.0,False,Cox5b,cytochrome c oxidase subunit 5B,Complex IV,97.9215
95,ENSMUSG00000017778,29.0,0.0,False,Cox7c,cytochrome c oxidase subunit 7C,Complex IV,97.9215
96,ENSMUSG00000042298,29.0,0.0,False,Ttc19,tetratricopeptide repeat domain 19,Complex III,97.9215
97,ENSMUSG00000031231,29.0,0.0,False,Cox7b,cytochrome c oxidase subunit 7B,Complex IV,97.9215
98,ENSMUSG00000014313,29.0,0.0,False,Cox6c,cytochrome c oxidase subunit 6C,Complex IV,97.9215
99,ENSMUSG00000000088,29.0,0.0,False,Cox5a,cytochrome c oxidase subunit 5A,Complex IV,97.9215
100,ENSMUSG00000059534,29.0,0.0,False,Uqcr10,"ubiquinol-cytochrome c reductase, complex III subunit X",Complex III,97.9215
101,ENSMUSG00000025651,29.0,0.0,False,Uqcrc1,ubiquinol-cytochrome c reductase core protein 1,Complex III,97.9215
102,ENSMUSG00000005683,29.0,0.0,False,Cs,citrate synthase,Other,95.0457
103,ENSMUSG00000030884,29.0,0.0,False,Uqcrc2,ubiquinol cytochrome c reductase core protein 2,Complex III,97.9215
104,ENSMUSG00000063882,29.0,0.0,False,Uqcrh,ubiquinol-cytochrome c reductase hinge protein,Complex III,97.9215
105,ENSMUSG00000021520,29.0,0.0,False,Uqcrb,ubiquinol-cytochrome c reductase binding protein,Complex III,97.9215
106,ENSMUSG00000063694,29.0,0.0,False,Cycs,"cytochrome c, somatic",Complex III,97.9215
107,ENSMUSG00000022551,29.0,0.0,False,Cyc1,cytochrome c-1,Complex III,97.9215
108,ENSMUSG00000061904,29.0,0.0,False,Slc25a3,"solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 3",Other,96.2946
109,ENSMUSG00000030869,29.0,0.0,False,Ndufab1,NADH:ubiquinone oxidoreductase subunit AB1,Complex I,85.1467
110,ENSMUSG00000031584,29.0,0.0,False,Gsr,glutathione reductase,Other,85.1467
111,ENSMUSG00000021764,29.0,0.0,False,Ndufs4,NADH:ubiquinone oxidoreductase core subunit S4,Complex I,85.1467
112,ENSMUSG00000002416,29.0,0.0,False,Ndufb2,NADH:ubiquinone oxidoreductase subunit B2,Complex I,85.1467
113,ENSMUSG00000002379,29.0,0.0,False,Ndufa11,NADH:ubiquinone oxidoreductase subunit A11,Complex I,85.1467
114,ENSMUSG00000026032,29.0,0.0,False,Ndufb3,NADH:ubiquinone oxidoreductase subunit B3,Complex I,85.1467
115,ENSMUSG00000025204,29.0,0.0,False,Ndufb8,NADH:ubiquinone oxidoreductase subunit B8,Complex I,85.1467
116,ENSMUSG00000040048,29.0,0.0,False,Ndufb10,NADH:ubiquinone oxidoreductase subunit B10,Complex I,85.1467
117,ENSMUSG00000033938,29.0,0.0,False,Ndufb7,NADH:ubiquinone oxidoreductase subunit B7,Complex I,85.1467
118,ENSMUSG00000030647,29.0,0.0,False,Ndufc2,NADH:ubiquinone oxidoreductase subunit C2,Complex I,85.1467
119,ENSMUSG00000041881,29.0,0.0,False,Ndufa7,NADH:ubiquinone oxidoreductase subunit A7,Complex I,85.1467
120,ENSMUSG00000027673,29.0,0.0,False,Ndufb5,NADH:ubiquinone oxidoreductase subunit B5,Complex I,85.1467
121,ENSMUSG00000035674,29.0,0.0,False,Ndufa3,NADH:ubiquinone oxidoreductase subunit A3,Complex I,85.1467
122,ENSMUSG00000020664,29.0,0.0,False,Dld,dihydrolipoamide dehydrogenase,Other,79.0
123,ENSMUSG00000004789,29.0,0.0,False,Dlst,dihydrolipoamide S-succinyltransferase,Other,78.045
124,ENSMUSG00000020456,29.0,0.0,False,Ogdh,oxoglutarate (alpha-ketoglutarate) dehydrogenase (lipoamide),Other,77.2858
125,ENSMUSG00000009863,29.0,0.0,False,Sdhb,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",Complex II,74.9315
126,ENSMUSG00000021577,29.0,0.0,False,Sdha,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)",Complex II,74.9315
127,ENSMUSG00000022450,29.0,0.0,False,Ndufa6,NADH:ubiquinone oxidoreductase subunit A6,Complex I,85.1467
128,ENSMUSG00000022820,29.0,0.0,False,Ndufb4,NADH:ubiquinone oxidoreductase subunit B4,Complex I,85.1467
129,ENSMUSG00000024099,29.0,0.0,False,Ndufv2,NADH:ubiquinone oxidoreductase core subunit V2,Complex I,85.1467
