objective,scenario,time_h,flux,normalized
dpsi,B,59.0,0.07694124695501643,0.03476363278366441
dpsi,B,60.0,0.07262286658653856,0.03281250000000002
dpsi,B,61.0,0.0685468582843434,0.030970875884868083
dpsi,B,62.0,0.06469961874962406,0.02923261418897989
dpsi,B,63.0,0.06106830817806906,0.027591913625512537
dpsi,B,64.0,0.05764080740820876,0.026043298508853292
dpsi,B,65.0,0.05440567747484091,0.024581600480008074
dpsi,B,66.0,0.05135212143254738,0.023201941257683618
dpsi,B,67.0,0.048469948321892505,0.021899716357477145
dpsi,B,68.0,0.04574953915804348,0.020670579724837775
dpsi,B,69.0,0.043181814828302516,0.019510429230513406
dpsi,B,70.0,0.04075820579141222,0.018415392980075673
dpsi,B,71.0,0.03847062347750822,0.017381816391832207
dpsi,B,72.0,0.03631143329326929,0.016406250000000015
dpsi,C,0.0,1.4187120067432528,1.0005927041311844
dpsi,C,1.0,1.405207239135149,0.9910680283157769
dpsi,C,2.0,1.3263390170140288,0.935443654047355
dpsi,C,3.0,1.2518973280670294,0.8829412360163991
dpsi,C,4.0,1.1816337300773163,0.8333855522833038
dpsi,C,5.0,1.1153137248182325,0.7866112153602569
dpsi,C,6.0,1.0527159754372686,0.742462120245874
dpsi,C,7.0,0.9936315677648904,0.7007909234392671
dpsi,C,8.0,0.9378633130829195,0.6614585511948076
dpsi,C,9.0,0.8852250900255165,0.6243337353764278
dpsi,C,10.0,0.8355412234164247,0.5892925753624201
dpsi,C,11.0,0.7886458979693992,0.5562181245386294
dpsi,C,12.0,0.7443826048951036,0.5249999999999992
dpsi,C,13.0,0.7026036195675746,0.49553401415788845
dpsi,C,14.0,0.6631695085070145,0.4677218270236776
dpsi,C,15.0,0.6259486640335147,0.44147061800819953
dpsi,C,16.0,0.5908168650386582,0.4166927761416519
dpsi,C,17.0,0.5576568624091163,0.39330560768012846
dpsi,C,18.0,0.5263579877186343,0.371231060122937
dpsi,C,19.0,0.4968157838824452,0.35039546171963354
dpsi,C,20.0,0.46893165654145974,0.3307292755974038
dpsi,C,21.0,0.4426125450127583,0.3121668676882139
dpsi,C,22.0,0.4177706117082123,0.29464628768121
dpsi,C,23.0,0.3943229489846996,0.2781090622693147
dpsi,C,24.0,0.3721913024475518,0.2624999999999996
dpsi,C,25.0,0.3513018097837872,0.2477670070789442
dpsi,C,26.0,0.3315847542535073,0.23386091351183882
dpsi,C,27.0,0.3129743320167574,0.2207353090040998
dpsi,C,28.0,0.2954084325193291,0.20834638807082595
dpsi,C,29.0,0.2788284312045581,0.19665280384006417
dpsi,C,30.0,0.26317899385931715,0.1856155300614685
dpsi,C,31.0,0.24840789194122256,0.17519773085981677
dpsi,C,32.0,0.2344658282707299,0.16536463779870192
dpsi,C,33.0,0.22130627250637916,0.15608343384410694
dpsi,C,34.0,0.20888530585410617,0.14732314384060502
dpsi,C,35.0,0.19716147449234983,0.13905453113465735
dpsi,C,36.0,0.18609565122377592,0.13124999999999984
dpsi,C,37.0,0.17565090489189364,0.12388350353947211
dpsi,C,38.0,0.1657923771267536,0.11693045675591937
dpsi,C,39.0,0.15648716600837873,0.11036765450204991
dpsi,C,40.0,0.14770421625966454,0.10417319403541297
dpsi,C,41.0,0.1394142156022791,0.09832640192003213
dpsi,C,42.0,0.13158949692965857,0.09280776503073425
dpsi,C,43.0,0.1242039459706113,0.08759886542990838
dpsi,C,44.0,0.11723291413536492,0.08268231889935093
dpsi,C,45.0,0.11065313625318958,0.07804171692205347
dpsi,C,46.0,0.10444265292705308,0.07366157192030251
dpsi,C,47.0,0.09858073724617487,0.06952726556732865
dpsi,C,48.0,0.09304782561188794,0.0656249999999999
dpsi,C,49.0,0.0878254524459468,0.06194175176973605
dpsi,C,50.0,0.0828961885633768,0.058465228377959685
dpsi,C,51.0,0.07824358300418938,0.05518382725102497
dpsi,C,52.0,0.07385210812983228,0.0520865970177065
dpsi,C,53.0,0.06970710780113955,0.049163200960016064
dpsi,C,54.0,0.06579474846482929,0.046403882515367124
dpsi,C,55.0,0.06210197298530567,0.04379943271495421
dpsi,C,56.0,0.058616457067682474,0.04134115944967548
dpsi,C,57.0,0.05532656812659478,0.039020858461026736
dpsi,C,58.0,0.052221326463526535,0.03683078596015125
dpsi,C,59.0,0.04929036862308746,0.03476363278366434
dpsi,C,60.0,0.04652391280594397,0.03281249999999995
dpsi,C,61.0,0.043912726222973396,0.03097087588486802
dpsi,C,62.0,0.04144809428168839,0.02923261418897984
dpsi,C,63.0,0.03912179150209469,0.027591913625512485
dpsi,C,64.0,0.036926054064916135,0.026043298508853244
dpsi,C,65.0,0.034853553900569774,0.024581600480008032
dpsi,C,66.0,0.03289737423241466,0.023201941257683573
dpsi,C,67.0,0.03105098649265283,0.021899716357477103
dpsi,C,68.0,0.029308228533841234,0.020670579724837736
dpsi,C,69.0,0.02766328406329739,0.019510429230513368
dpsi,C,70.0,0.02611066323176329,0.018415392980075638
dpsi,C,71.0,0.024645184311543736,0.017381816391832176
dpsi,C,72.0,0.023261956402971996,0.016406249999999987
