X_C1,X_C3,X_C4,X_F,E_ANT,E_PiC,X_H,halflife_hours,tw_delta_psi_h,tw_atp_h,success
10214.768172169424,1232467.1126607817,0.009905120954060743,1001.7986999194263,0.31243842832559265,4165391.971529306,2661.3136206868035,6.650196654577677,84.08053691275167,17.395973154362416,True
12526.04433126952,1667432.3278527027,0.010505386513448019,945.8591115712915,0.3703419901115952,4724581.830544853,506.48086492347755,2.681957481421086,40.59060402684564,8.697986577181208,True
5727.576882109613,1030749.0340836957,0.008217338267718657,855.3501581794883,0.2649632185503184,6185352.981756706,848.0463578391368,9.940716376543044,138.2013422818792,25.127516778523493,True
12062.407718775396,969313.650862953,0.016108100777240696,802.7374334804157,0.38731612867657167,10274795.4543298,661.7948172540696,3.8265888531823014,57.986577181208055,12.563758389261746,True
16029.038479965815,899639.0313287597,0.005010379283034072,624.0248854378829,0.398524212675566,4146361.5641157893,937.8029938595205,3.185960595254697,42.52348993288591,8.697986577181208,True
14630.20794030724,1348891.83844931,0.014554561475528728,894.7740162733209,0.24484407634359368,6361949.069507583,1376.6313998195944,2.5033285228653317,35.758389261744966,7.731543624161074,True
8531.058623628796,867678.7453287878,0.02152217960290778,1064.6532982587096,0.23270958344766468,5300606.477144331,1149.4644697382118,5.723291008731987,84.08053691275167,16.42953020134228,True
8870.187627345053,903406.1234452961,0.007096441253208773,783.5441351162854,0.4450684729200869,5330186.281393651,792.6004466090417,4.1367895061635656,57.02013422818792,11.59731543624161,True
9096.126783219868,1244207.2133507717,0.018459843945852317,807.1161315285701,0.2988253337859433,6839140.146774759,586.848076805623,2.010653689584273,31.89261744966443,6.76510067114094,True
12925.043491474788,1590202.1013875068,0.01306197715634368,1091.75320587898,0.20827776754488483,5174915.550272044,431.1410576492834,5.54327338699766,86.97986577181209,15.463087248322148,True
8152.319069155397,615422.674625458,0.014286215424293692,1220.8350897007936,0.45212862114473895,7602417.316497705,963.9113371453207,1.8099454626411953,26.093959731543624,6.76510067114094,True
9903.02290761721,939161.7512195534,0.01816588150887288,1560.2363797427897,0.30829874413266684,7296900.649785121,808.7285293947989,6.823358893761553,102.44295302013424,21.261744966442954,True
15082.66150157849,724698.5544428405,0.011748754268475652,1128.9314895183456,0.29115316593582563,3210886.132475484,1526.2263663142348,6.299656369093478,85.04697986577182,16.42953020134228,True
9252.405788543501,1508173.3509379097,0.029635571073833845,1278.2026986932838,0.4350580653222763,5430764.075843739,1447.2195800065995,4.144764300505996,61.852348993288594,14.496644295302014,True
13863.279827979382,1139116.4844012398,0.012083622859178998,769.092222680219,0.3438987678807033,8148475.049374406,1014.4724767814637,2.8567324802859964,40.59060402684564,9.66442953020134,True
10004.233099297626,1321172.0349793558,0.01895792082114641,1228.0602968222204,0.5018369131377763,5480970.875815353,1512.953481406032,8.874568771642052,125.63758389261746,28.993288590604028,True
12686.67388043653,953336.4745619263,0.01266135031482414,1489.1951425146542,0.4241469640251647,5949369.165395793,737.5193629242625,5.908959495919392,86.97986577181209,18.36241610738255,True
14164.855971706402,1812062.3252920334,0.016852990347581854,1066.974931064087,0.19975256542247546,3474645.8143935106,1065.1865435971026,4.926923921185378,72.48322147651007,13.53020134228188,True
6643.164845136511,775403.6237978777,0.020818272028117348,1444.995913705385,0.3177865149195915,2186985.8580421163,708.8602317892537,11.574754976706604,,28.993288590604028,True
13388.513668420792,656806.8112778609,0.022463028264005105,730.3414219966988,0.3280169746812038,4082698.2801768226,1817.7391981126784,5.092719564695863,70.5503355704698,15.463087248322148,True
7619.856634181034,796007.2894608722,0.012153526188048673,1020.3523333122,0.48429830051002504,5574778.098987745,1565.4926270169458,2.089517999025783,28.026845637583893,6.76510067114094,True
8415.307391001175,2278502.8779708855,0.01124922463255469,1103.9583485761439,0.21899029697905734,4368726.439375998,1281.680042238681,7.530479146656001,104.3758389261745,20.29530201342282,True
