regime,scenario,t_hours,delta_psi_mV,sumATP_c_mM
in_vivo_141h,A,48.120603015075375,164.06343483819487,4.707391959737964
in_vivo_141h,A,48.48241206030151,164.05089702003409,4.706872394902789
in_vivo_141h,A,48.84422110552764,164.03835306616043,4.706351580317378
in_vivo_141h,A,49.20603015075377,164.0258029947338,4.70582951677869
in_vivo_141h,A,49.56783919597991,164.01324829575555,4.7053062696764405
in_vivo_141h,A,49.92964824120603,164.0006889692257,4.704781839010627
in_vivo_141h,A,50.29145728643216,163.98812506553313,4.7042562232752
in_vivo_141h,A,50.6532663316583,163.97555748210948,4.703729395647261
in_vivo_141h,A,51.015075376884425,163.96298562006692,4.703201374026679
in_vivo_141h,A,51.37688442211056,163.95040947940538,4.702672158413453
in_vivo_141h,A,51.73869346733668,163.9378290601249,4.702141748807585
in_vivo_141h,A,52.10050251256282,163.92524623477365,4.701610215322675
in_vivo_141h,A,52.46231155778895,163.91266245639792,4.701077612364963
in_vivo_141h,A,52.824120603015075,163.9000759923533,4.70054387505925
in_vivo_141h,A,53.185929648241206,163.8874868426397,4.70000900340553
in_vivo_141h,A,53.54773869346734,163.87489500725712,4.699472997403806
in_vivo_141h,A,53.90954773869347,163.8622957542923,4.698935652304293
in_vivo_141h,A,54.2713567839196,163.84969122443235,4.698397060734475
in_vivo_141h,A,54.633165829145725,163.8370820111485,4.697857248373843
in_vivo_141h,A,54.99497487437186,163.8244681144408,4.697316215222393
in_vivo_141h,A,55.356783919597994,163.81184979528751,4.696773948517909
in_vivo_141h,A,55.71859296482412,163.79922775320549,4.696230414053002
in_vivo_141h,A,56.08040201005026,163.78660142581342,4.695685639328937
in_vivo_141h,A,56.44221105527639,163.77397081311128,4.69513962434571
in_vivo_141h,A,56.80402010050251,163.76133591509904,4.694592369103325
in_vivo_141h,A,57.16582914572865,163.74869931540093,4.69404398164166
in_vivo_141h,A,57.527638190954775,163.73606091239162,4.693494457711034
